1660595472,"[-0.0537109375, 0.082763671875, 1.1171875]","[3.18145751953125, 6.93511962890625, 4.67681884765625]","[-90, 377, -1039]"
1660595472,"[-0.046630859375, 0.021240234375, 1.1259765625]","[2.89154052734375, 4.84466552734375, 2.84576416015625]","[-99, 388, -1040]"
1660595473,"[0.027587890625, 0.0986328125, 1.1123046875]","[2.4566650390625, 5.68389892578125, 6.27899169921875]","[-97, 384, -1043]"
1660595473,"[-0.0859375, 0.060302734375, 1.14208984375]","[3.62396240234375, 5.79833984375, 5.24139404296875]","[-101, 393, -1042]"
1660595474,"[-0.068603515625, -0.009765625, 1.108154296875]","[3.27301025390625, 6.96563720703125, 5.67626953125]","[-85, 375, -1046]"
1660595474,"[-0.026611328125, 0.0556640625, 1.07421875]","[2.6702880859375, 5.06591796875, 3.4027099609375]","[-93, 382, -1034]"
1660595475,"[-0.037841796875, 0.044189453125, 1.08349609375]","[3.94439697265625, 6.7596435546875, 4.1656494140625]","[-93, 384, -1032]"
1660595475,"[0.004150390625, 0.060546875, 1.099609375]","[1.1444091796875, 4.69970703125, 4.852294921875]","[-90, 375, -1039]"
1660595476,"[-0.002685546875, 0.017333984375, 1.11865234375]","[2.38800048828125, 5.9814453125, 4.60052490234375]","[-63, 333, -1019]"
1660595476,"[0.073974609375, 0.055908203125, 1.11865234375]","[3.9215087890625, 6.47735595703125, 4.75311279296875]","[-75, 381, -1038]"
1660595476,"[0.0146484375, 0.09619140625, 1.108154296875]","[3.18145751953125, 4.05120849609375, 4.46319580078125]","[-101, 374, -1045]"
1660595477,"[-0.001220703125, 0.041748046875, 1.12744140625]","[4.29534912109375, 5.2642822265625, 2.75421142578125]","[-88, 382, -1050]"
1660595477,"[0.028076171875, 0.069580078125, 1.133056640625]","[2.5787353515625, 4.8980712890625, 6.53839111328125]","[-96, 383, -1047]"
1660595478,"[0.03857421875, 0.142822265625, 1.0908203125]","[2.532958984375, 5.05828857421875, 5.74493408203125]","[-90, 384, -1034]"
1660595478,"[0.010009765625, 0.04248046875, 1.1162109375]","[2.7008056640625, 5.56182861328125, 4.75311279296875]","[-53, 359, -1026]"
1660595479,"[-0.005126953125, 0.014892578125, 1.08544921875]","[3.44085693359375, 5.83648681640625, 5.67626953125]","[-93, 377, -1043]"
1660595479,"[0.009033203125, 0.126953125, 1.1025390625]","[2.25067138671875, 4.547119140625, 5.0048828125]","[-87, 381, -1047]"
1660595480,"[-0.0673828125, 0.067138671875, 1.095947265625]","[4.09698486328125, 5.22613525390625, 5.11932373046875]","[-84, 383, -1038]"
1660595480,"[-0.016845703125, 0.126708984375, 1.10888671875]","[4.23431396484375, 7.33184814453125, 5.7525634765625]","[-90, 392, -1032]"
1660595481,"[-0.024658203125, 0.07275390625, 1.11474609375]","[3.0975341796875, 4.974365234375, 3.1280517578125]","[-96, 386, -1033]"
1660595481,"[0.024169921875, 0.06396484375, 1.123046875]","[4.608154296875, 5.37109375, 6.40106201171875]","[-93, 377, -1053]"
